text_idx,seed,b1_bert_f1,b1_rouge1,b1_rouge2,b1_rougeL,b1_kw_content,b2_bert_f1,b2_rouge1,b2_rouge2,b2_rougeL,b2_kw_content,b3_bert_f1,b3_rouge1,b3_rouge2,b3_rougeL,b3_kw_content,b4_bert_f1,b4_rouge1,b4_rouge2,b4_rougeL,b4_kw_content
1,123,0.6489,0.2432,0.1205,0.1351,0.4444,0.6372,0.3417,0.1111,0.1457,0.2593,0.6406,0.2831,0.1439,0.1544,0.4074,0.646,0.3351,0.1244,0.1443,0.2593
2,123,0.6549,0.1185,0.0849,0.0931,0.7692,0.6905,0.2011,0.1348,0.1564,0.6154,0.673,0.2222,0.1467,0.1992,0.5385,0.6524,0.1771,0.1302,0.1123,0.7692
3,123,0.6247,0.1657,0.0496,0.0814,0.4545,0.6719,0.267,0.0971,0.1648,0.2727,0.6777,0.2926,0.1639,0.1966,0.6364,0.7022,0.3065,0.1568,0.1667,0.5455
4,123,0.6463,0.1271,0.0611,0.105,0.4167,0.6525,0.215,0.0755,0.1215,0.25,0.6722,0.2359,0.114,0.1231,0.3333,0.6698,0.2092,0.0928,0.1423,0.4167
5,123,0.7047,0.2294,0.1576,0.1328,0.8333,0.6934,0.2907,0.1394,0.1869,0.3333,0.719,0.3127,0.1902,0.2085,0.6667,0.7249,0.3032,0.1818,0.1677,0.6111
6,123,0.6676,0.243,0.0938,0.1121,0.48,0.7136,0.358,0.1487,0.2243,0.48,0.7056,0.4,0.1586,0.2085,0.48,0.6748,0.3402,0.1036,0.1443,0.28
7,123,0.6482,0.2368,0.1027,0.1312,0.4348,0.677,0.3518,0.1667,0.1859,0.4348,0.6493,0.3171,0.1324,0.1512,0.3478,0.6497,0.3474,0.1587,0.1842,0.4348
8,123,0.6873,0.3097,0.158,0.1709,0.4667,0.6946,0.3685,0.2083,0.1968,0.5333,0.6951,0.4507,0.1887,0.2113,0.3667,0.7029,0.4376,0.2066,0.2057,0.3667
9,123,0.6693,0.2471,0.1327,0.1206,0.5417,0.6931,0.3326,0.1691,0.1642,0.4583,0.6861,0.4232,0.2041,0.1971,0.5,0.6856,0.3239,0.1604,0.1831,0.25
10,123,0.6329,0.1497,0.0652,0.1017,0.5556,0.6374,0.2601,0.1261,0.1211,0.5556,0.6611,0.2642,0.1192,0.1617,0.5,0.6523,0.2598,0.1429,0.1324,0.6111
11,123,0.6602,0.151,0.0773,0.0863,0.6471,0.6859,0.1653,0.0851,0.1102,0.4706,0.6597,0.1804,0.0984,0.1134,0.4118,0.7025,0.2137,0.1047,0.1205,0.4706
12,123,0.672,0.2504,0.1396,0.1357,0.68,0.669,0.3179,0.1082,0.1385,0.32,0.6963,0.3941,0.2012,0.2353,0.52,0.6901,0.371,0.1866,0.2319,0.48
