ext_ratio_pct,n_texts,hyb_bert_f1_mean,hyb_bert_f1_std,hyb_rouge1_mean,hyb_rouge1_std,hyb_rouge2_mean,hyb_rouge2_std,hyb_rougeL_mean,hyb_rougeL_std,hyb_kw_match_mean,hyb_kw_match_std,hyb_kw_content_match_mean,hyb_kw_content_match_std,gen_bert_f1_mean,gen_rouge1_mean,gen_rouge2_mean,gen_rougeL_mean,gen_kw_match_mean,gen_kw_content_match_mean,truncation_rate,avg_bart_tokens
1,30,0.6431,0.0408,0.1898,0.0774,0.0488,0.046,0.1403,0.0548,0.0324,0.0292,0.0452,0.0458,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,11.0
2,30,0.6431,0.0408,0.1898,0.0774,0.0488,0.046,0.1403,0.0548,0.0324,0.0292,0.0452,0.0458,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,11.0
3,30,0.6431,0.0408,0.1898,0.0774,0.0488,0.046,0.1403,0.0548,0.0324,0.0292,0.0452,0.0458,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,11.0
4,30,0.6431,0.0408,0.1898,0.0774,0.0488,0.046,0.1403,0.0548,0.0324,0.0292,0.0452,0.0458,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,11.0
5,30,0.6431,0.0408,0.1898,0.0774,0.0488,0.046,0.1403,0.0548,0.0324,0.0292,0.0452,0.0458,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,11.0
6,30,0.6431,0.0409,0.1927,0.0759,0.0495,0.0454,0.1413,0.054,0.0329,0.0287,0.0471,0.0451,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,11.3
7,30,0.6433,0.0414,0.1982,0.0821,0.0491,0.049,0.1394,0.0553,0.0332,0.032,0.0472,0.0463,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,12.0
8,30,0.6467,0.0397,0.2204,0.079,0.056,0.0498,0.1484,0.0492,0.0404,0.0368,0.0533,0.0464,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,14.7
9,30,0.6467,0.0386,0.2328,0.0801,0.0554,0.0477,0.1519,0.0481,0.0412,0.0363,0.0595,0.0532,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,17.4
10,30,0.6511,0.0376,0.253,0.0763,0.0662,0.05,0.1608,0.0525,0.0498,0.0382,0.0674,0.0561,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,20.4
11,30,0.6538,0.0365,0.2652,0.0687,0.0722,0.0477,0.166,0.0499,0.0551,0.0365,0.0749,0.0532,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,22.3
12,30,0.6548,0.0355,0.2637,0.0715,0.0718,0.0496,0.1669,0.0527,0.0549,0.0377,0.0762,0.0528,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,23.3
13,30,0.6553,0.0352,0.2638,0.0701,0.0709,0.0493,0.1661,0.0529,0.0543,0.0372,0.0762,0.0528,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,24.8
14,30,0.6591,0.0323,0.27,0.0647,0.0737,0.0521,0.1644,0.0493,0.0586,0.0432,0.0864,0.0686,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,27.5
15,30,0.6623,0.0344,0.2777,0.0716,0.0797,0.0539,0.1661,0.0496,0.0647,0.0448,0.0926,0.0667,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,30.0
16,30,0.6664,0.037,0.2864,0.0722,0.0853,0.0537,0.1706,0.0465,0.0702,0.0444,0.0973,0.0636,0.6718,0.2214,0.112,0.1245,0.3968,0.5201,0.0,32.7
