text_idx,seed,lambda,bert_f1,rouge1,rouge2,rougeL,kw_content_match
1,2024,0.5,0.7066,0.4774,0.1948,0.2452,0.2778
1,2024,0.6,0.7066,0.4774,0.1948,0.2452,0.2778
1,2024,0.7,0.7066,0.4774,0.1948,0.2452,0.2778
1,2024,0.8,0.7171,0.5246,0.2574,0.2426,0.3611
1,2024,0.9,0.7171,0.5246,0.2574,0.2426,0.3611
2,2024,0.5,0.6888,0.3397,0.1613,0.1667,0.3478
2,2024,0.6,0.6888,0.3397,0.1613,0.1667,0.3478
2,2024,0.7,0.6888,0.3397,0.1613,0.1667,0.3478
2,2024,0.8,0.6888,0.3397,0.1613,0.1667,0.3478
2,2024,0.9,0.6888,0.3397,0.1613,0.1667,0.3478
3,2024,0.5,0.6929,0.4847,0.2465,0.2563,0.381
3,2024,0.6,0.6951,0.4848,0.2327,0.2369,0.4286
3,2024,0.7,0.7019,0.5378,0.2704,0.2633,0.4762
3,2024,0.8,0.6577,0.4629,0.2299,0.2,0.3095
3,2024,0.9,0.6577,0.4629,0.2299,0.2,0.3095
4,2024,0.5,0.6857,0.3409,0.1298,0.1742,0.2
4,2024,0.6,0.6857,0.3409,0.1298,0.1742,0.2
4,2024,0.7,0.6857,0.3409,0.1298,0.1742,0.2
4,2024,0.8,0.6611,0.3158,0.0848,0.1193,0.2286
4,2024,0.9,0.6611,0.3158,0.0848,0.1193,0.2286
5,2024,0.5,0.6946,0.3474,0.1489,0.2,0.4211
5,2024,0.6,0.6946,0.3474,0.1489,0.2,0.4211
5,2024,0.7,0.6946,0.3474,0.1489,0.2,0.4211
5,2024,0.8,0.6946,0.3474,0.1489,0.2,0.4211
5,2024,0.9,0.6911,0.3556,0.1685,0.1667,0.4211
6,2024,0.5,0.6372,0.2634,0.1245,0.1811,0.1333
6,2024,0.6,0.6372,0.2634,0.1245,0.1811,0.1333
6,2024,0.7,0.6357,0.3049,0.1448,0.1973,0.1
6,2024,0.8,0.6357,0.3049,0.1448,0.1973,0.1
6,2024,0.9,0.6357,0.3049,0.1448,0.1973,0.1
7,2024,0.5,0.6988,0.3789,0.1625,0.2105,0.4762
7,2024,0.6,0.6988,0.3789,0.1625,0.2105,0.4762
7,2024,0.7,0.6988,0.3789,0.1625,0.2105,0.4762
7,2024,0.8,0.7048,0.3986,0.1864,0.2562,0.5238
7,2024,0.9,0.7048,0.3986,0.1864,0.2562,0.5238
8,2024,0.5,0.6868,0.2708,0.1238,0.1354,0.3
8,2024,0.6,0.6868,0.2708,0.1238,0.1354,0.3
8,2024,0.7,0.6868,0.2708,0.1238,0.1354,0.3
8,2024,0.8,0.6907,0.3172,0.1181,0.1517,0.4
8,2024,0.9,0.6907,0.3172,0.1181,0.1517,0.4
9,2024,0.5,0.6718,0.3725,0.1316,0.1699,0.3571
9,2024,0.6,0.6718,0.3725,0.1316,0.1699,0.3571
9,2024,0.7,0.6718,0.3725,0.1316,0.1699,0.3571
9,2024,0.8,0.6718,0.3725,0.1316,0.1699,0.3571
9,2024,0.9,0.6712,0.3451,0.1489,0.1972,0.3214
10,2024,0.5,0.6828,0.5806,0.2865,0.2151,0.3571
10,2024,0.6,0.6723,0.5081,0.2174,0.2108,0.2143
10,2024,0.7,0.6723,0.5081,0.2174,0.2108,0.2143
10,2024,0.8,0.6723,0.5081,0.2174,0.2108,0.2143
10,2024,0.9,0.6723,0.5081,0.2174,0.2108,0.2143
11,2024,0.5,0.6858,0.3901,0.1682,0.161,0.3704
11,2024,0.6,0.6858,0.3901,0.1682,0.161,0.3704
11,2024,0.7,0.6858,0.3901,0.1682,0.161,0.3704
11,2024,0.8,0.6815,0.3636,0.164,0.1567,0.4074
11,2024,0.9,0.6451,0.2866,0.1021,0.1672,0.2222
12,2024,0.5,0.6861,0.2752,0.1014,0.1409,0.35
12,2024,0.6,0.6861,0.2752,0.1014,0.1409,0.35
12,2024,0.7,0.6861,0.2752,0.1014,0.1409,0.35
12,2024,0.8,0.6931,0.3068,0.1602,0.1711,0.6
12,2024,0.9,0.6931,0.3068,0.1602,0.1711,0.6
13,2024,0.5,0.6755,0.3643,0.1295,0.1429,0.4091
13,2024,0.6,0.6755,0.3643,0.1295,0.1429,0.4091
13,2024,0.7,0.6755,0.3643,0.1295,0.1429,0.4091
13,2024,0.8,0.6755,0.3643,0.1295,0.1429,0.4091
13,2024,0.9,0.6755,0.3643,0.1295,0.1429,0.4091
14,2024,0.5,0.6529,0.2764,0.1066,0.1545,0.2941
14,2024,0.6,0.6529,0.2764,0.1066,0.1545,0.2941
14,2024,0.7,0.6463,0.2343,0.0759,0.1172,0.1765
14,2024,0.8,0.6463,0.2343,0.0759,0.1172,0.1765
14,2024,0.9,0.6463,0.2343,0.0759,0.1172,0.1765
15,2024,0.5,0.6863,0.3964,0.1905,0.2071,0.36
15,2024,0.6,0.7113,0.4548,0.2581,0.2157,0.44
15,2024,0.7,0.744,0.5212,0.3354,0.2061,0.6
15,2024,0.8,0.744,0.5212,0.3354,0.2061,0.6
15,2024,0.9,0.7058,0.454,0.2716,0.2638,0.44
16,2024,0.5,0.6964,0.413,0.2041,0.2267,0.2857
16,2024,0.6,0.6964,0.413,0.2041,0.2267,0.2857
16,2024,0.7,0.6964,0.413,0.2041,0.2267,0.2857
16,2024,0.8,0.6964,0.413,0.2041,0.2267,0.2857
16,2024,0.9,0.6711,0.3658,0.0941,0.1712,0.1429
17,2024,0.5,0.6634,0.2786,0.0748,0.1362,0.4286
17,2024,0.6,0.6634,0.2786,0.0748,0.1362,0.4286
17,2024,0.7,0.6634,0.2786,0.0748,0.1362,0.4286
17,2024,0.8,0.6634,0.2786,0.0748,0.1362,0.4286
17,2024,0.9,0.6634,0.2786,0.0748,0.1362,0.4286
18,2024,0.5,0.6862,0.3178,0.094,0.1682,0.2
18,2024,0.6,0.6862,0.3178,0.094,0.1682,0.2
18,2024,0.7,0.7159,0.4385,0.2074,0.206,0.4
18,2024,0.8,0.7159,0.4385,0.2074,0.206,0.4
18,2024,0.9,0.7159,0.4385,0.2074,0.206,0.4
19,2024,0.5,0.6477,0.2156,0.0599,0.1264,0.1765
19,2024,0.6,0.6813,0.2652,0.084,0.1288,0.3529
19,2024,0.7,0.6813,0.2652,0.084,0.1288,0.3529
19,2024,0.8,0.6813,0.2652,0.084,0.1288,0.3529
19,2024,0.9,0.6813,0.2652,0.084,0.1288,0.3529
20,2024,0.5,0.6895,0.4313,0.1824,0.2188,0.3043
20,2024,0.6,0.6895,0.4313,0.1824,0.2188,0.3043
20,2024,0.7,0.6895,0.4313,0.1824,0.2188,0.3043
20,2024,0.8,0.6895,0.4313,0.1824,0.2188,0.3043
20,2024,0.9,0.6895,0.4313,0.1824,0.2188,0.3043
21,2024,0.5,0.6899,0.3587,0.1758,0.2717,0.3
