text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,123,1,1130,100,16,19,0.017,10,0,0.6269,0.2185,0.1026,0.2017,0.0619,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1231,0.0,0.1231,0.2011,0.0745,0.1164
1,123,2,1130,100,16,19,0.017,10,0,0.6269,0.2185,0.1026,0.2017,0.0619,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1231,0.0,0.1231,0.2011,0.0745,0.1164
1,123,3,1130,100,16,19,0.017,10,0,0.6269,0.2185,0.1026,0.2017,0.0619,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1231,0.0,0.1231,0.2011,0.0745,0.1164
1,123,4,1130,100,16,19,0.017,10,0,0.6269,0.2185,0.1026,0.2017,0.0619,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1231,0.0,0.1231,0.2011,0.0745,0.1164
1,123,5,1130,100,16,19,0.017,10,0,0.6269,0.2185,0.1026,0.2017,0.0619,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1231,0.0,0.1231,0.2011,0.0745,0.1164
1,123,6,1130,100,16,19,0.017,10,0,0.6269,0.2185,0.1026,0.2017,0.0619,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1231,0.0,0.1231,0.2011,0.0745,0.1164
1,123,7,1130,100,37,36,0.032,22,0,0.6714,0.3676,0.1642,0.2206,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.08,0.2078,0.2011,0.0745,0.1164
1,123,8,1130,100,37,36,0.032,22,0,0.6714,0.3676,0.1642,0.2206,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.08,0.2078,0.2011,0.0745,0.1164
1,123,9,1130,100,37,36,0.032,22,0,0.6714,0.3676,0.1642,0.2206,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.08,0.2078,0.2011,0.0745,0.1164
1,123,10,1130,100,37,36,0.032,22,0,0.6714,0.3676,0.1642,0.2206,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.08,0.2078,0.2011,0.0745,0.1164
1,123,11,1130,100,37,36,0.032,22,0,0.6714,0.3676,0.1642,0.2206,0.1134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.08,0.2078,0.2011,0.0745,0.1164
1,123,12,1130,100,59,36,0.032,31,0,0.6622,0.3676,0.1791,0.25,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.1067,0.2338,0.2011,0.0745,0.1164
1,123,13,1130,100,59,36,0.032,31,0,0.6622,0.3676,0.1791,0.25,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.1067,0.2338,0.2011,0.0745,0.1164
1,123,14,1130,100,59,36,0.032,31,0,0.6622,0.3676,0.1791,0.25,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.1067,0.2338,0.2011,0.0745,0.1164
1,123,15,1130,100,59,36,0.032,31,0,0.6622,0.3676,0.1791,0.25,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.1067,0.2338,0.2011,0.0745,0.1164
1,123,16,1130,100,87,54,0.048,48,0,0.6543,0.4026,0.1579,0.2078,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2759,0.0941,0.2069,0.2011,0.0745,0.1164
1,123,17,1130,100,87,54,0.048,48,0,0.6543,0.4026,0.1579,0.2078,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2759,0.0941,0.2069,0.2011,0.0745,0.1164
1,123,18,1130,100,87,54,0.048,48,0,0.6543,0.4026,0.1579,0.2078,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2759,0.0941,0.2069,0.2011,0.0745,0.1164
1,123,19,1130,100,87,54,0.048,48,0,0.6543,0.4026,0.1579,0.2078,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2759,0.0941,0.2069,0.2011,0.0745,0.1164
1,123,20,1130,100,87,54,0.048,48,0,0.6543,0.4026,0.1579,0.2078,0.1237,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2759,0.0941,0.2069,0.2011,0.0745,0.1164
1,123,21,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
1,123,22,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
1,123,23,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
1,123,24,1130,100,105,59,0.052,56,0,0.6628,0.4025,0.1656,0.2138,0.134,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2857,0.0899,0.1978,0.2011,0.0745,0.1164
